State,foreign_immigrants
Alabama,18239
Alaska,5051
Arizona,58640
Arkansas,8164
California,315732
Colorado,35910
Connecticut,27608
Delaware,6779
District of Columbia ,12608
Florida,303868
Georgia,63323
Hawaii,13608
Idaho,9400
Illinois,97862
Indiana,30115
Iowa,17122
Kansas,21062
Kentucky,27761
Louisiana,22150
Maine,4665
Maryland,46472
Massachusetts,69332
Michigan,56357
Minnesota,30830
Mississippi,10307
Missouri,23901
Montana,2597
Nebraska,12907
Nevada,29035
New Hampshire,5071
New Jersey,93958
New Mexico,12733
New York,167420
North Carolina,64940
North Dakota,7113
Ohio,56978
Oklahoma,15739
Oregon,24248
Pennsylvania,73871
Rhode Island,8502
South Carolina,26113
South Dakota,2172
Tennessee,27204
Texas,272711
Utah,27776
Vermont,2152
Virginia,58033
Washington,69614
West Virginia,3573
Wisconsin,20895
Wyoming,2353
