State,Dem,Rep
Alabama,33.4,66.6
Alaska,33.0,67.0
Arizona,45.8,54.2
Arkansas,44.3,55.7
California,51.9,48.1
Colorado,47.6,52.4
Connecticut,50.0,50.0
Delaware,53.7,46.3
District of Columbia,86.8,13.2
Florida,48.7,51.3
Georgia,45.1,54.9
Hawaii,62.0,38.0
Idaho,30.0,70.0
Illinois,51.1,48.9
Indiana,41.0,59.0
Iowa,47.7,52.3
Kansas,37.0,63.0
Kentucky,40.5,59.5
Louisiana,40.8,59.2
Maine,50.9,49.1
Maryland,55.7,44.3
Massachusetts,59.8,40.2
Michigan,50.0,50.0
Minnesota,52.1,47.9
Mississippi,31.8,68.2
Missouri,46.7,53.3
Montana,39.5,60.5
Nebraska,32.5,67.5
Nevada,47.9,52.1
New Hampshire,50.2,49.8
New Jersey,50.9,49.1
New Mexico,51.1,48.9
New York,55.7,44.3
North Carolina,45.3,54.7
North Dakota,35.4,64.6
Ohio,48.3,51.7
Oklahoma,32.9,67.1
Oregon,50.2,49.8
Pennsylvania,49.1,50.9
Rhode Island,60.2,39.8
South Carolina,41.0,59.0
South Dakota,38.0,62.0
Tennessee,42.0,58.0
Texas,43.5,56.5
Utah,29.3,70.7
Vermont,56.0,44.0
Virginia,47.8,52.2
Washington,54.0,46.0
West Virginia,40.1,59.9
Wisconsin,49.5,50.5
Wyoming,28.8,71.2
