State,Births
Alabama,57803
Alaska,8914
Arizona,78076
Arkansas,35213
California,399368
Colorado,61475
Connecticut,34531
Delaware,10396
District of Columbia,7885
Florida,221365
Georgia,125046
Hawaii,14643
Idaho,22377
Illinois,124743
Indiana,78856
lowa,35994
Kansas,34056
Kentucky,51830
Louisiana,54682
Maine,11617
Maryland,65561
Massachusetts,67113
Michigan,99055
Minnesota,61671
Mississippi,34449
Missouri,67058
Montana,11069
Nebraska,24043
Nevada,31759
New Hampshire,11929
New Jersey,100943
New Mexico,20815
New York,203126
North Carolina,119744
North Dakota,9614
Ohio,126785
Oklahoma,47872
Oregon,38225
Pennsylvania,126757
Rhode Island,9801
South Carolina,57688
South Dakota,11198
Tennessee,82973
Texas,387636
Utah,45016
Vermont,5058
Virginia,92512
Washington,80879
West Virginia,16403
Wisconsin,59719
Wyoming,5987

